speed,rpm
17.63579,838.7435
17.42599,832.011
17.28624,827.7787
17.21639,825.7802
17.00692,820.2505
16.86199,815.971
16.71345,811.7427
16.5649,807.8207
16.41644,804.158
16.26807,800.6846
16.11979,797.3282
15.97046,794.8952
15.82051,792.4571
15.67067,789.7075
15.52097,786.7865
15.37137,783.8942
15.22186,781.1297
15.07304,778.527
14.92469,776.0855
14.77642,773.7802
14.62822,771.5795
14.4801,769.4526
14.33205,767.3726
14.18839,765.3438
14.04746,763.4036
13.90666,761.5433
13.76593,759.7455
13.62525,757.9929
13.48464,756.2698
13.35197,754.5793
13.22401,752.9531
13.0962,751.3664
12.96844,749.7946
12.8407,748.0869
12.71302,746.1631
12.59431,744.0566
12.48066,741.842
12.36714,739.5316
12.25362,737.1337
12.14009,734.6589
12.02657,732.1184
11.91823,729.5332
11.81273,726.9431
11.70728,724.3512
11.60181,721.7834
11.49631,719.2709
11.39081,716.8287
11.28891,713.5662
11.1889,710.2002
11.0889,707.0113
10.98886,704.007
10.88878,701.1801
10.78868,698.5156
10.69655,696.903
10.6085,695.6431
10.52051,694.424
10.43253,693.2035
10.34455,691.9574
10.25658,690.6746
10.18079,689.5035
10.11143,688.7691
10.04218,688.5976
9.972871,689.0256
9.903472,690.0944
9.834005,691.7579
9.772185,693.9238
9.714391,696.5018
9.656675,699.3671
9.598973,702.4017
9.54128,705.5042
9.483632,708.5909
9.438069,711.6149
9.398746,714.5825
9.359588,717.4573
9.320476,720.2065
9.281379,722.8055
9.242329,725.2374
9.214375,727.5092
9.19206,729.6697
9.169876,731.7179
9.147708,733.648
9.125525,735.4557
9.103356,737.1384
9.090199,738.7106
9.081571,740.2182
9.073024,741.6638
9.064465,743.0441
9.055869,744.3558
9.047269,745.5966
9.046915,746.7781
9.050518,747.941
9.054168,749.0864
9.057792,750.2075
9.061368,751.2063
9.064924,752.0512
9.068485,752.7696
9.072051,753.3867
9.075613,753.9242
9.079161,754.3994
9.082698,754.826
9.086231,755.2142
9.089766,755.5734
9.093301,755.9141
9.096839,756.2419
9.10039,756.5597
9.103942,756.868
9.107487,757.1671
9.111042,757.4564
9.114611,757.736
9.118195,758.0056
9.121787,758.2651
9.125384,758.515
9.128988,758.7555
9.132602,758.9871
9.136221,759.2104
9.139847,759.4258
9.143476,759.6338
9.147106,759.8349
9.150741,760.0294
9.154375,760.2178
9.158008,760.4003
9.16164,760.5771
9.165268,760.7485
9.168892,760.9146
9.172511,761.0757
9.17612,760.3752
9.179702,759.6198
9.183249,759.0696
9.186763,758.7031
9.190241,758.4868
9.193689,758.3853
9.197118,759.222
9.200546,760.1672
9.203984,760.9407
9.207437,761.5488
9.210904,762.0141
9.214379,762.3649
9.217858,762.6287
9.22134,762.8293
9.224819,762.9861
9.228297,763.1135
9.231769,763.2221
9.235234,763.3193
9.238693,763.4096
9.242144,763.4962
9.245588,763.5808
9.249024,763.6642
9.252457,763.7471
9.255881,763.8293
9.259298,763.0526
9.262691,762.2242
9.26605,761.6049
9.269381,761.1725
9.272684,760.8937
9.275965,760.7333
9.279232,761.5164
9.282505,762.412
9.285795,763.14
9.289107,763.7062
9.292439,764.1331
9.295788,764.4487
9.29915,764.68
9.302518,764.8506
9.305891,764.9797
9.309267,765.0817
9.312644,765.1669
9.316021,765.2427
9.319395,765.3137
9.322765,765.3828
9.326134,765.4515
9.329497,765.5209
9.332856,765.5912
9.336212,765.6624
9.339563,765.7344
9.342909,765.8069
9.346251,765.8799
9.349587,765.9531
9.352921,766.0264
9.356249,766.0996
9.359574,766.1727
9.362893,766.2456
9.366208,766.3183
9.369517,766.3906
9.372822,766.4628
9.376123,766.5345
9.37942,766.6061
9.382713,766.6773
9.386003,766.7482
9.389285,766.8188
9.392565,766.889
9.395839,766.959
9.399106,766.1679
9.40235,765.3246
9.405561,764.6898
9.408744,764.2418
9.411898,763.9475
9.415029,763.7721
9.41814,763.6841
9.421239,763.6575
9.424326,763.672
9.427405,763.7126
9.430478,763.7688
9.433547,763.8335
9.436612,763.9021
9.439673,763.9719
9.442732,764.0414
9.445787,764.1099
9.44884,764.1771
9.451891,764.2432
9.454943,765.1674
9.458011,766.1442
9.461103,766.9133
9.464218,767.4958
9.467355,767.9241
9.470507,768.2327
9.473672,768.4529
9.476844,768.6107
9.48002,768.7266
9.483197,768.8156
9.486375,768.8883
9.489552,768.952
9.492725,769.0114
9.495894,769.0692
9.49906,769.127
9.502223,769.1855
9.50538,769.245
9.508533,769.3055
9.511681,769.3668
9.514826,769.4286
